Date,Open,High,Low,Close,Adj Close,Volume
2021-02-10,147.619995,147.750000,144.369995,145.500000,142.866745,11701300
2021-02-11,145.779999,146.570007,143.529999,145.559998,142.925644,11600200
2021-02-12,145.570007,151.399994,144.869995,147.979996,145.301849,9155200
2021-02-16,149.000000,149.740005,146.059998,147.160004,144.496704,10211900
2021-02-17,145.820007,146.889999,143.419998,144.750000,142.130295,11937200
2021-02-18,143.539993,144.699997,142.960007,143.910004,141.305511,8404400
2021-02-19,144.779999,145.850006,143.490005,144.940002,142.316879,10012500
2021-02-22,142.250000,144.119995,139.080002,139.460007,136.936050,12763900
2021-02-23,136.380005,138.479996,134.440002,137.119995,134.638397,14425300
2021-02-24,136.399994,141.179993,135.089996,141.100006,138.546371,13146200
2021-02-25,139.559998,140.830002,135.020004,135.529999,133.077164,12701100
2021-02-26,136.759995,138.149994,134.699997,136.190002,133.725235,11772600
2021-03-01,137.500000,139.630005,136.460007,139.490005,136.965500,9421400
2021-03-02,140.000000,140.100006,136.770004,137.039993,134.559830,8693200
2021-03-03,135.600006,136.179993,131.539993,131.660004,129.893326,14862700
2021-03-04,132.350006,134.199997,126.580002,127.800003,126.085114,15831100
2021-03-05,130.919998,131.169998,125.400002,129.750000,128.008957,13292000
2021-03-08,129.000000,129.770004,122.989998,123.199997,121.546822,15256100
2021-03-09,127.389999,129.919998,126.330002,129.110001,127.377533,13130200
2021-03-10,130.669998,131.100006,127.639999,127.870003,126.154175,12492300
2021-03-11,131.009995,133.240005,130.009995,131.740005,129.972244,11920200
2021-03-12,129.899994,130.330002,127.620003,129.979996,128.235855,9365700
2021-03-15,130.059998,131.759995,129.119995,131.639999,129.873581,7807200
2021-03-16,132.889999,135.440002,132.289993,133.649994,131.856598,10434700
2021-03-17,131.309998,135.600006,129.679993,133.919998,132.122986,10781500
2021-03-18,132.440002,133.600006,129.660004,129.750000,128.008957,9579000
2021-03-19,129.789993,132.479996,129.169998,131.020004,129.261917,17599900
2021-03-22,132.960007,135.550003,132.600006,134.089996,132.290695,9036900
2021-03-23,134.000000,134.350006,131.410004,132.520004,130.741776,7425700
2021-03-24,132.990005,133.059998,127.110001,127.180000,125.473427,10962300
2021-03-25,126.660004,127.639999,124.389999,127.279999,125.572083,10460800
2021-03-26,127.059998,133.350006,127.040001,132.990005,131.205490,11071600
2021-03-29,132.539993,133.339996,129.770004,131.270004,129.508545,9750100
2021-03-30,130.169998,131.240005,129.070007,130.110001,128.364105,7097300
2021-03-31,130.960007,133.520004,130.570007,132.589996,130.810837,8361300
2021-04-01,134.500000,138.429993,133.600006,137.789993,135.941040,14069600
2021-04-05,139.039993,140.500000,138.229996,140.330002,138.446976,12562800
2021-04-06,139.850006,140.229996,137.639999,138.059998,136.207428,9100000
2021-04-07,138.330002,139.949997,137.399994,139.429993,137.559036,6958500
2021-04-08,140.000000,140.369995,138.809998,140.339996,138.456848,7304900
2021-04-09,139.899994,140.679993,138.880005,140.570007,138.683762,6033200
2021-04-12,138.860001,139.889999,136.050003,137.440002,135.595764,10355500
2021-04-13,138.380005,138.770004,135.750000,137.300003,135.457642,9225200
2021-04-14,137.080002,137.839996,133.910004,134.750000,132.941849,9967800
2021-04-15,136.000000,137.990005,135.570007,137.839996,135.990387,11733200
2021-04-16,137.619995,139.009995,136.649994,138.210007,136.355423,6583900
2021-04-19,136.899994,137.050003,134.089996,135.250000,133.435135,8728900
2021-04-20,134.550003,134.779999,132.789993,133.399994,131.609955,7473700
2021-04-21,132.820007,136.369995,132.500000,136.190002,134.362518,7237900
2021-04-22,135.369995,135.960007,132.470001,132.970001,131.185730,8345100
2021-04-23,133.740005,136.110001,133.539993,135.429993,133.612717,7666600
2021-04-26,135.330002,139.690002,135.119995,138.960007,137.095367,9715400
2021-04-27,138.710007,139.380005,136.979996,138.009995,136.158081,9284500
2021-04-28,138.169998,138.270004,135.750000,136.570007,134.737442,13118100
2021-04-29,145.009995,145.300003,140.669998,142.679993,140.765442,20502100
2021-04-30,141.070007,142.089996,138.259995,138.800003,136.937500,11374600
2021-05-03,139.699997,139.759995,136.869995,137.429993,135.585892,7920300
2021-05-04,136.000000,136.000000,132.419998,134.119995,132.320297,11996300
2021-05-05,136.080002,136.449997,134.110001,134.649994,132.843185,6285500
2021-05-06,134.490005,136.539993,133.100006,136.000000,134.175079,8352500
2021-05-07,136.940002,138.690002,136.289993,137.850006,136.000259,6893700
2021-05-10,136.020004,136.679993,128.820007,128.940002,127.209816,19537200
2021-05-11,125.250000,128.559998,124.769997,128.369995,126.647453,11948000
2021-05-12,126.029999,127.129997,123.680000,124.620003,122.947784,13529600
2021-05-13,127.120003,128.479996,125.870003,127.110001,125.404366,10633000
2021-05-14,128.630005,131.419998,127.809998,130.149994,128.403564,9391100
2021-05-17,129.289993,129.830002,127.709999,129.800003,128.058273,5917400
2021-05-18,130.639999,131.240005,128.789993,128.910004,127.180222,8651100
2021-05-19,127.190002,130.830002,126.449997,130.660004,128.906723,8112900
2021-05-20,131.529999,133.279999,131.460007,132.639999,130.860168,9208400
2021-05-21,132.139999,132.690002,130.490005,131.460007,129.695999,8674000
2021-05-24,131.330002,134.000000,131.330002,132.910004,131.126541,8229300
2021-05-25,133.539993,134.300003,132.800003,133.750000,131.955276,7271400
2021-05-26,133.869995,134.520004,132.220001,133.089996,131.304123,6663300
2021-05-27,132.729996,134.639999,132.710007,133.639999,131.846741,7379300
2021-05-28,134.149994,135.639999,133.949997,134.539993,132.734665,7042200
2021-06-01,135.100006,136.070007,133.529999,133.940002,132.142715,7059600
2021-06-02,133.179993,134.729996,132.470001,133.820007,132.698029,6026000
2021-06-03,132.649994,133.389999,131.419998,131.779999,130.675125,6644000
2021-06-04,132.529999,135.050003,132.199997,134.339996,133.213654,7416700
2021-06-07,133.699997,133.770004,132.639999,133.320007,132.202209,5563300
2021-06-08,134.059998,135.389999,133.000000,134.199997,133.074829,9657900
2021-06-09,135.100006,135.350006,132.789993,132.889999,131.775818,6717200
2021-06-10,133.050003,135.100006,132.580002,134.220001,133.094666,5522300
2021-06-11,133.800003,134.649994,133.649994,134.619995,133.491302,6529900
2021-06-14,135.199997,137.309998,134.789993,137.309998,136.158752,7912600
2021-06-15,137.139999,137.380005,135.229996,135.580002,134.443268,5723600
2021-06-16,136.470001,137.050003,133.660004,134.949997,133.818542,7404700
2021-06-17,134.309998,136.619995,134.089996,135.350006,134.215210,6618300
2021-06-18,134.550003,134.580002,132.240005,133.000000,131.884888,12753600
2021-06-21,133.050003,135.100006,132.660004,133.960007,132.836853,6371400
2021-06-22,134.220001,135.309998,133.289993,135.080002,133.947464,5976400
2021-06-23,134.889999,136.229996,134.809998,135.520004,134.383774,6613800
2021-06-24,136.619995,138.509995,136.350006,137.919998,136.763641,7941700
2021-06-25,138.449997,139.470001,136.970001,137.649994,136.495911,7949200
2021-06-28,138.229996,140.169998,137.979996,139.720001,138.548553,6645500
2021-06-29,139.630005,142.949997,139.250000,142.619995,141.424240,6885400
2021-06-30,142.350006,143.630005,141.839996,142.929993,141.731644,6449700
2021-07-01,142.910004,143.020004,140.350006,140.800003,139.619507,6094100
2021-07-02,141.990005,142.679993,141.250000,142.580002,141.384583,5399100
2021-07-06,143.000000,143.179993,139.679993,141.190002,140.006226,7095200
2021-07-07,142.240005,142.360001,139.059998,139.970001,138.796463,5034900
2021-07-08,137.720001,138.869995,135.600006,138.289993,137.130539,7501100
2021-07-09,137.889999,141.729996,137.809998,141.429993,140.244202,7356800
2021-07-12,141.399994,143.020004,141.199997,142.470001,141.275513,6786500
2021-07-13,142.440002,142.660004,140.419998,141.179993,139.996307,5657600
2021-07-14,143.500000,146.339996,142.500000,143.750000,142.544769,11305700
2021-07-15,144.119995,144.139999,140.720001,141.460007,140.273972,6667400
