Date,Open,High,Low,Close,Adj Close,Volume
2021-05-05,143.720001,144.570007,143.500000,143.889999,140.921692,5305200
2021-05-06,144.470001,145.960007,144.009995,145.559998,142.557236,4472200
2021-05-07,145.229996,146.000000,144.570007,145.559998,142.557236,4181000
2021-05-10,146.490005,147.990005,146.110001,146.720001,143.693298,5270600
2021-05-11,147.169998,147.639999,145.020004,145.649994,142.645355,5266100
2021-05-12,144.880005,145.740005,143.850006,144.229996,141.254669,5651700
2021-05-13,144.240005,147.119995,143.580002,146.369995,143.350525,4849400
2021-05-14,147.199997,147.899994,146.419998,146.589996,143.565994,4224700
2021-05-17,147.000000,147.399994,145.710007,146.169998,143.154648,3747100
2021-05-18,146.639999,146.949997,145.320007,145.509995,142.508270,4527300
2021-05-19,144.639999,145.630005,144.080002,145.429993,142.429916,4432700
2021-05-20,145.250000,147.729996,145.110001,147.229996,144.192795,3964600
2021-05-21,147.869995,148.309998,146.520004,147.100006,144.065475,5194200
2021-05-24,147.639999,148.350006,147.009995,147.850006,144.800003,3627800
2021-05-25,147.850006,148.369995,147.009995,148.300003,145.240707,4649300
2021-05-26,147.910004,148.669998,147.679993,148.300003,145.240707,4462600
2021-05-27,148.559998,148.770004,146.440002,146.509995,143.487625,9203600
2021-05-28,147.410004,148.500000,147.240005,147.940002,144.888138,4913700
2021-06-01,148.779999,148.850006,147.089996,147.630005,144.584549,5530300
2021-06-02,148.199997,148.529999,147.229996,148.220001,145.162369,4546900
2021-06-03,146.710007,147.759995,146.160004,147.669998,145.680283,4651600
2021-06-04,148.000000,148.589996,147.470001,147.839996,145.847992,4427400
2021-06-07,147.759995,148.250000,146.710007,147.750000,145.759216,4724100
2021-06-08,147.699997,147.869995,145.919998,146.369995,144.397797,5997200
2021-06-09,147.250000,147.589996,146.020004,146.100006,144.131454,4008000
2021-06-10,146.309998,148.009995,146.130005,147.600006,145.611237,4698200
2021-06-11,148.050003,148.119995,146.789993,147.690002,145.700027,4364600
2021-06-14,147.470001,148.630005,146.789993,148.570007,146.568176,3831900
2021-06-15,148.899994,149.169998,148.070007,148.580002,146.578033,4256500
2021-06-16,148.860001,149.270004,146.750000,147.100006,145.117981,5492100
2021-06-17,147.250000,149.000000,146.910004,148.520004,146.518845,5316400
2021-06-18,147.979996,147.979996,145.229996,145.419998,143.460602,10661700
2021-06-21,145.750000,146.740005,145.449997,146.559998,144.585236,4904300
2021-06-22,146.729996,147.500000,146.289993,146.779999,144.802277,3518000
2021-06-23,146.059998,146.130005,144.830002,144.850006,142.898285,3901700
2021-06-24,144.860001,145.940002,144.610001,145.669998,143.707245,3818900
2021-06-25,145.759995,146.789993,145.240005,146.410004,144.437271,6387600
2021-06-28,146.759995,147.589996,146.619995,147.039993,145.058777,4282800
2021-06-29,147.449997,147.699997,146.399994,146.940002,144.960129,3197700
2021-06-30,147.429993,148.309998,147.199997,148.169998,146.173553,4943700
2021-07-01,148.080002,149.080002,147.940002,148.199997,146.203156,3997600
2021-07-02,148.899994,149.779999,148.559998,148.910004,146.903595,3835500
2021-07-06,149.070007,149.419998,147.770004,149.130005,147.120621,4313800
2021-07-07,149.289993,150.699997,149.000000,149.789993,147.771713,4225000
2021-07-08,149.419998,150.669998,149.190002,149.860001,147.840790,4216000
2021-07-09,149.410004,150.309998,149.169998,149.479996,147.465912,4088600
2021-07-12,149.490005,149.789993,148.779999,149.509995,147.495483,4873700
2021-07-13,151.149994,153.910004,150.750000,152.960007,150.899017,8750800
2021-07-14,152.889999,155.139999,152.800003,154.539993,152.457718,6390300
2021-07-15,154.070007,155.360001,153.259995,155.250000,153.158157,4920600
2021-07-16,155.679993,156.839996,155.110001,155.820007,153.720490,5852500
2021-07-19,155.990005,157.539993,154.759995,155.800003,153.700745,5750200
2021-07-20,156.199997,157.330002,155.559998,155.820007,153.720490,5213500
2021-07-21,155.300003,156.119995,154.570007,155.240005,153.148300,4905900
2021-07-22,155.190002,155.759995,153.970001,155.190002,153.098969,3333500
2021-07-23,155.559998,157.789993,155.240005,157.179993,155.062149,3588400
2021-07-26,156.789993,157.470001,156.029999,157.070007,154.953644,2999800
2021-07-27,157.309998,158.660004,157.029999,157.940002,155.811905,4043900
2021-07-28,157.600006,157.960007,155.910004,156.490005,154.381454,3556800
2021-07-29,157.229996,157.429993,156.199997,156.809998,154.697128,3055600
2021-07-30,157.369995,157.600006,156.619995,156.949997,154.835251,3757300
2021-08-02,157.000000,157.110001,155.509995,156.320007,154.213745,3425900
2021-08-03,157.000000,157.149994,156.309998,156.669998,154.559021,3359900
2021-08-04,156.190002,156.660004,153.869995,154.050003,151.974335,4846300
2021-08-05,154.979996,155.190002,153.869995,154.309998,152.230820,3733500
2021-08-06,153.770004,154.759995,153.639999,154.330002,152.250565,3430900
2021-08-09,154.639999,154.789993,153.710007,154.350006,152.270294,2636600
2021-08-10,154.309998,155.309998,153.809998,154.429993,152.349197,2670200
2021-08-11,154.710007,156.020004,154.470001,155.039993,152.950974,3058000
2021-08-12,155.229996,155.300003,154.600006,155.070007,152.980591,1958700
2021-08-13,155.100006,156.669998,154.899994,156.520004,154.411057,2113800
2021-08-16,156.929993,158.119995,156.729996,158.050003,155.920425,3224000
2021-08-17,157.910004,158.449997,157.240005,157.899994,155.772446,3736300
2021-08-18,157.679993,158.199997,156.199997,156.279999,154.174286,3419200
2021-08-19,155.820007,159.419998,155.779999,158.910004,156.768860,4745600
2021-08-20,158.929993,159.630005,158.250000,158.350006,156.216385,3484100
2021-08-23,157.830002,158.520004,157.320007,157.850006,155.723129,3102100
2021-08-24,157.750000,157.750000,155.679993,155.889999,153.789536,3760800
2021-08-25,155.360001,155.669998,154.160004,155.199997,153.108841,3346700
2021-08-26,155.509995,155.669998,154.089996,154.630005,152.546524,3220700
2021-08-27,154.839996,155.410004,154.210007,154.940002,152.852341,4166500
2021-08-30,155.179993,156.169998,155.009995,156.000000,153.898056,2540300
2021-08-31,156.089996,156.470001,155.339996,156.389999,154.282806,5291200
2021-09-01,156.839996,158.190002,156.509995,157.910004,155.782333,4231400
2021-09-02,156.789993,157.289993,155.869995,156.949997,155.896545,2862500
2021-09-03,156.199997,157.419998,155.899994,157.089996,156.035599,2035100
